Brain-regions,corr,p-value,p-value(-log10),bonferroni
rh_S_pericallosal_thickness,0.04896014,0.119950034,0.920999626,non-significant
rh_S_orbital-H_Shaped_thickness,-0.046555428,0.139267532,0.85615012,non-significant
rh_S_subparietal_thickness,-0.046265539,0.1417493,0.848479076,non-significant
lh_S_orbital_lateral_thickness,-0.044676499,0.155959797,0.80698734,non-significant
rh_S_interm_prim-Jensen_thickness,-0.044650004,0.156205559,0.806303513,non-significant
Left-Lateral-Ventricle,-0.043417191,0.167968325,0.774772609,non-significant
CC_Posterior,-0.041682133,0.185631353,0.731348671,non-significant
rh_G_pariet_inf-Supramar_thickness,-0.041326106,0.189419459,0.722575409,non-significant
rh_S_precentral-sup-part_thickness,-0.041009446,0.192836239,0.714811348,non-significant
rh_G&S_frontomargin_thickness,0.040104939,0.202844591,0.692836568,non-significant
Left-Pallidum,-0.039842703,0.205815671,0.686521561,non-significant
rh_S_temporal_transverse_thickness,-0.039397989,0.210926122,0.675869632,non-significant
rh_G_front_inf-Opercular_thickness,-0.03937197,0.211227929,0.675248658,non-significant
lh_G_parietal_sup_thickness,-0.037074761,0.239115698,0.621391912,non-significant
rh_G_parietal_sup_thickness,-0.036551589,0.245813962,0.609393453,non-significant
lh_S_oc_sup&transversal_thickness,-0.036028174,0.252645705,0.59748808,non-significant
lh_Pole_temporal_thickness,-0.035414674,0.260820074,0.583658985,non-significant
lh_G_subcallosal_thickness,-0.035349814,0.261694843,0.582204835,non-significant
lh_G_temp_sup-G_T_transv_thickness,-0.03419783,0.277569347,0.556628496,non-significant
lh_S_circular_insula_inf_thickness,-0.033834937,0.282702966,0.548669635,non-significant
lh_G&S_occipital_inf_thickness,-0.033804559,0.283135608,0.548005508,non-significant
rh_S_front_middle_thickness,-0.032581226,0.300930529,0.521533751,non-significant
Right-Inf-Lat-Vent,0.031721954,0.31386533,0.503256654,non-significant
lh_G_Ins_lg&S_cent_ins_thickness,-0.031591708,0.315857362,0.500508997,non-significant
CC_Mid_Anterior,-0.031128713,0.323005539,0.49079003,non-significant
lh_S_front_inf_thickness,-0.029899486,0.342490392,0.465351607,non-significant
Right-Lateral-Ventricle,-0.029801075,0.344082132,0.46333788,non-significant
rh_G_Ins_lg&S_cent_ins_thickness,-0.028956811,0.357930812,0.446200914,non-significant
WM-hypointensities,0.027528962,0.382136586,0.417781381,non-significant
lh_S_suborbital_thickness,0.027477323,0.383030376,0.416766783,non-significant
CSF,-0.027474936,0.383071718,0.416719911,non-significant
lh_Lat_Fis-ant-Vertical_thickness,-0.026175304,0.405986954,0.391487922,non-significant
lh_G_front_middle_thickness,0.025777149,0.41316757,0.383873774,non-significant
Left-Cerebellum-White-Matter,-0.02528797,0.422091826,0.374593058,non-significant
rh_G_occipital_sup_thickness,0.022859479,0.468034472,0.329722159,non-significant
Right-Pallidum,-0.022557459,0.473935383,0.324280867,non-significant
lh_G_front_inf-Triangul_thickness,-0.021840057,0.48811437,0.311478407,non-significant
rh_G_insular_short_thickness,-0.021294846,0.49904104,0.301863737,non-significant
lh_S_front_middle_thickness,-0.020662628,0.511872105,0.290838537,non-significant
lh_G&S_frontomargin_thickness,-0.02002439,0.524997565,0.279842711,non-significant
lh_G_front_inf-Opercular_thickness,-0.019965694,0.526213228,0.278838239,non-significant
lh_G_occipital_middle_thickness,-0.019391492,0.538181014,0.269071628,non-significant
Left-Inf-Lat-Vent,0.019058241,0.545188775,0.263453095,non-significant
Left-choroid-plexus,-0.018604181,0.554809184,0.255856359,non-significant
rh_G&S_cingul-Ant_thickness,0.017749074,0.573148729,0.241732667,non-significant
rh_G_occipital_middle_thickness,-0.017649968,0.575292696,0.24011114,non-significant
lh_G&S_transv_frontopol_thickness,-0.017347284,0.581864001,0.235178511,non-significant
lh_G&S_cingul-Ant_thickness,0.014271953,0.6505263,0.186735141,non-significant
CC_Central,-0.014093319,0.65461497,0.184014067,non-significant
lh_G_front_sup_thickness,-0.013869296,0.659757166,0.180615884,non-significant
lh_S_orbital-H_Shaped_thickness,-0.012202378,0.698510562,0.155827023,non-significant
Optic-Chiasm,0.012018453,0.702837302,0.153145197,non-significant
rh_Lat_Fis-ant-Vertical_thickness,0.011438081,0.716552862,0.144751765,non-significant
lh_G_temp_sup-Plan_polar_thickness,-0.010524398,0.738330003,0.131749483,non-significant
lh_G_occipital_sup_thickness,-0.010102506,0.74845801,0.12583256,non-significant
lh_S_pericallosal_thickness,-0.010096662,0.748598622,0.125750977,non-significant
lh_G_temp_sup-Lateral_thickness,-0.008226682,0.793993267,0.10018318,non-significant
Right-choroid-plexus,-0.008182483,0.795075362,0.099591704,non-significant
rh_G_front_sup_thickness,-0.007579774,0.809869679,0.09158486,non-significant
Left-vessel,-0.006233455,0.843155447,0.07409235,non-significant
rh_G_temp_sup-Plan_polar_thickness,-0.006031262,0.848180191,0.071511875,non-significant
Right-vessel,-0.006008413,0.848748396,0.071221033,non-significant
lh_S_temporal_transverse_thickness,-0.004770618,0.879639886,0.055695086,non-significant
rh_G&S_transv_frontopol_thickness,-0.004709739,0.881164383,0.054943066,non-significant
lh_Pole_occipital_thickness,0.004532146,0.885614001,0.052755526,non-significant
rh_G_subcallosal_thickness,0.00394424,0.900369047,0.045579443,non-significant
rh_Pole_occipital_thickness,0.003853677,0.902645137,0.044482953,non-significant
lh_G_pariet_inf-Angular_thickness,-0.001787343,0.954758392,0.020106516,non-significant
rh_G_front_middle_thickness,0.001480534,0.962518128,0.016591082,non-significant
