Brain-region,NLL,EV,MSLL,BIC,Skew,Kurtosis
lhCerebralWhiteMatterVol,231818.8028,0.382565779,-0.237931758,463677.2565,0.044019604,0.277849707
rhCerebralWhiteMatterVol,231830.7566,0.388407501,-0.242774605,463701.1643,0.036788677,0.312821154
CerebralWhiteMatterVol,245741.7949,0.386302003,-0.240864757,491523.2409,0.038610411,0.29048533
SubCortGrayVol,197710.1593,0.071918482,0.106411647,395459.9372,6.54568808,71.9150121
TotalGrayVol,249496.3181,0.580844943,-0.439856914,499032.2872,-0.127789555,0.007379922
SupraTentorialVol,259658.5557,0.348210158,-0.215571208,519356.7624,-0.032543496,0.098040251
SupraTentorialVolNotVent,256905.9875,0.341127577,1.801214762,513851.5925,-12.49503498,167.511988
SupraTentorialVolNotVentVox,256885.246,0.337962234,1.78803385,513810.1096,-12.48889548,167.3954584
MaskVol,263632.9026,0.244396156,1.477213179,527305.4221,-12.7546965,172.4656282
BrainSegVol-to-eTIV,-33695.25933,0.267099835,-0.20491718,-67350.90211,1.020316621,44.00441096
MaskVol-to-eTIV,-32293.58279,0.059990949,-0.022921357,-64547.54943,-0.455703716,167.8619243
lhSurfaceHoles,77903.96227,0.566845039,-0.562845617,155847.5419,-0.444805663,2.744026029
rhSurfaceHoles,77303.43635,0.540058747,-0.496963197,154646.4897,-0.409894324,2.304764152
SurfaceHoles,89842.82549,0.588371817,-0.56480973,179725.2685,-0.801759428,5.239475876
EstimatedTotalIntraCranialVol,265043.8607,0.27147783,1.965752247,530127.3388,-12.57592254,168.7569401
avg_thickness,-18397.48665,0.592995869,-0.430404345,-36755.32252,-0.20059957,0.69013731
